model,benchmark,mode,best_generation,best_q,classification,complete_controller_config,functional_key_count,artifact_path,source_note
deepseek,cstr,single,196,0.1196601436252494,fallback_generated,true,33,fallback_generated/cstr/deepseek/single/controller_config.json,"Retained complete configuration produced by the fallback path, not a direct LLM response."
deepseek,cstr,dual_objective,27,0.22645025118604378,api_generated,true,33,api_generated/cstr/deepseek/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,cstr,dual_strategy,69,0.22744814271560415,api_generated,true,33,api_generated/cstr/deepseek/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,auv,single,142,0.38383651030925375,api_generated,true,58,api_generated/auv/deepseek/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,auv,dual_objective,0,0.40241204256902879,unretained_endpoint,false,0,incomplete_or_unretained/auv/deepseek/dual_objective/endpoint_record.json,Reported endpoint retained only as provenance metadata; no matching controller configuration was preserved.
deepseek,auv,dual_strategy,0,0.40241204256902879,unretained_endpoint,false,0,incomplete_or_unretained/auv/deepseek/dual_strategy/endpoint_record.json,Reported endpoint retained only as provenance metadata; no matching controller configuration was preserved.
deepseek,ground_vehicle,single,34,0.3840179725232713,api_generated,true,18,api_generated/ground_vehicle/deepseek/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,ground_vehicle,dual_objective,1,0.3840179725232713,api_generated,true,18,api_generated/ground_vehicle/deepseek/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,ground_vehicle,dual_strategy,1,0.3840179725232713,api_generated,true,18,api_generated/ground_vehicle/deepseek/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,quadrotor,single,13,0.63081585741619972,api_generated,true,16,api_generated/quadrotor/deepseek/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,quadrotor,dual_objective,79,0.64961163013986656,api_generated,true,16,api_generated/quadrotor/deepseek/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
deepseek,quadrotor,dual_strategy,82,0.65437364697211686,api_generated,true,16,api_generated/quadrotor/deepseek/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,cstr,single,15,0.11351384094979632,api_generated,true,33,api_generated/cstr/gpt-5.2/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,cstr,dual_objective,27,0.23073870720431405,api_generated,true,33,api_generated/cstr/gpt-5.2/dual_objective/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,cstr,dual_strategy,33,0.23038332583992635,api_generated,true,33,api_generated/cstr/gpt-5.2/dual_strategy/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,auv,single,109,0.39803018109920951,api_generated,true,58,api_generated/auv/gpt-5.2/single/controller_config.json,Retained complete configuration with API-generation metadata in the source archive.
gpt-5.2,auv,dual_objective,80,0.40260239232498263,expert_assisted_unretained,false,0,incomplete_or_unretained/auv/gpt-5.2/dual_objective/endpoint_record.json,Expert-assisted generation-80 endpoint B030_FF35; no matching complete controller configuration was preserved.
